wrapper  | OpenSCManager failed - Access is denied. (0x5)
jvm 1    | 2015-07-03 12:01:13,388+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.capabilities.internal.rest.CapabilityNotFoundExceptionMapper
jvm 1    | 2015-07-03 12:01:13,388+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.AuthorizationExceptionMapper
jvm 1    | 2015-07-03 12:01:13,388+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.InvalidConfigurationExceptionMapper
jvm 1    | 2015-07-03 12:01:13,388+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.nexus.plugins.siesta.NoSuchRepositoryExceptionMapper
jvm 1    | 2015-07-03 12:01:13,388+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.jackson.JacksonProvider
jvm 1    | 2015-07-03 12:01:13,388+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.BadRequestExceptionMapper
jvm 1    | 2015-07-03 12:01:13,482+0530 INFO  [pxpool-1-thread-1] *SYSTEM org.sonatype.nexus.index.DefaultIndexerManager - Publishing index for repository public
jvm 1    | 2015-07-03 12:01:13,482+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ConstraintViolationExceptionMapper
jvm 1    | 2015-07-03 12:01:13,498+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.InvalidObjectExceptionMapper
jvm 1    | 2015-07-03 12:01:13,498+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ObjectNotFoundExceptionMapper
jvm 1    | 2015-07-03 12:01:13,513+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ThrowableExceptionMapper
jvm 1    | 2015-07-03 12:01:13,513+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.ValidationErrorsExceptionMapper
jvm 1    | 2015-07-03 12:01:13,513+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationExceptionMapper
jvm 1    | 2015-07-03 12:01:13,513+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.plugins.siesta.SiestaModule -   org.sonatype.sisu.siesta.server.internal.mappers.WebApplicationMessageExceptionMapper
jvm 1    | [INFO] Unable to read properties file, will force index regeneration
jvm 1    | 2015-07-03 12:01:14,286+0530 INFO  [pxpool-1-thread-1] *SYSTEM org.sonatype.nexus.index.tasks.UpdateIndexTask - Scheduled task (UpdateIndexTask) finished :: Updating repository index "Public Repositories" from path null and below. (started 2015-07-03T12:01:08+05:30, runtime 0:00:05.872)
jvm 1    | 2015-07-03 12:01:14,436+0530 INFO  [pxpool-1-thread-1] *SYSTEM org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration due to changes in [Scheduled Tasks] made by *TASK...
jvm 1    | 2015-07-03 12:01:15,109+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webresources.internal.WebResourceServiceImpl - Discovered 1973 resources
jvm 1    | 2015-07-03 12:01:15,111+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webresources.internal.WebResourceServlet - Max-age: 30 days (2592000 seconds)
jvm 1    | 2015-07-03 12:01:15,156+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.bootstrap.jetty.InstrumentedSelectChannelConnector - Metrics enabled
jvm 1    | 2015-07-03 12:01:15,184+0530 INFO  [jetty-main-1] *SYSTEM org.eclipse.jetty.server.AbstractConnector - Started InstrumentedSelectChannelConnector@0.0.0.0:8081
jvm 1    | 2015-07-03 12:01:15,186+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Running
jvm 1    | 2015-07-03 12:01:15,186+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Started
jvm 1    | 2015-07-03 12:01:15,344+0530 INFO  [qtp400120477-54] *SYSTEM org.apache.shiro.nexus5727.FixedDefaultWebSessionManager - Global session timeout: 1800000 ms
jvm 1    | 2015-07-03 12:01:15,346+0530 INFO  [qtp400120477-54] *SYSTEM org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Enabling session validation scheduler...
jvm 1    | 2015-07-03 12:01:15,349+0530 INFO  [qtp400120477-54] *SYSTEM org.apache.shiro.cache.ehcache.EhCacheManager - Using existing EHCache named [shiro-activeSessionCache]
jvm 1    | 2015-07-03 12:01:15,401+0530 INFO  [qtp400120477-54] *UNKNOWN org.sonatype.nexus.velocity.VelocityEngineProvider - Creating Nexus VelocityEngine
jvm 1    | 2015-07-03 12:01:21,156+0530 INFO  [qtp400120477-52] *UNKNOWN org.sonatype.security.model.source.FileModelConfigurationSource - Loading security configuration from: D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06\..\sonatype-work\nexus\conf\security.xml
jvm 1    | 2015-07-03 12:01:21,638+0530 INFO  [qtp400120477-56] *UNKNOWN /nexus - nexus: [Noelios Restlet Engine] - Attaching application: org.sonatype.nexus.rest.NexusApplication@3ce3c973 to URI: /nexus/service/local
jvm 1    | 2015-07-03 12:01:22,342+0530 INFO  [qtp400120477-55] anonymous com.sonatype.nexus.plugins.outreach.internal.outreach.SonatypeOutreach - Could not download page bundle
jvm 1    | java.net.UnknownHostException: links.sonatype.com
jvm 1    | 2015-07-03 12:01:22,442+0530 INFO  [qtp400120477-56] anonymous com.sonatype.nexus.plugins.outreach.internal.outreach.SonatypeOutreach - Could not download page bundle
jvm 1    | java.net.UnknownHostException: links.sonatype.com
jvm 1    | 2015-07-03 12:02:08,527+0530 INFO  [qtp400120477-55] admin com.sonatype.nexus.plugins.outreach.internal.outreach.SonatypeOutreach - Could not download page bundle
jvm 1    | java.net.UnknownHostException: links.sonatype.com
jvm 1    | 2015-07-03 12:02:08,710+0530 INFO  [qtp400120477-54] admin com.sonatype.nexus.plugins.outreach.internal.outreach.SonatypeOutreach - Could not download page bundle
jvm 1    | java.net.UnknownHostException: links.sonatype.com
wrapper  | CTRL-C trapped.  Shutting down.
jvm 1    | 2015-07-03 12:03:31,497+0530 INFO  [Wrapper-Control-Event-Monitor] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - Received control event: 200
jvm 1    | 2015-07-03 12:03:32,500+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - Stopping with code: 0
jvm 1    | 2015-07-03 12:03:32,502+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopping
jvm 1    | 2015-07-03 12:03:32,502+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopping: org.eclipse.jetty.server.Server@660674e3
jvm 1    | 2015-07-03 12:03:32,503+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.eclipse.jetty.server.Server - Graceful shutdown InstrumentedSelectChannelConnector@0.0.0.0:8081
jvm 1    | 2015-07-03 12:03:32,504+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.eclipse.jetty.server.Server - Graceful shutdown o.e.j.w.WebAppContext{/nexus,file:/D:/Softwares/nexus-2.11.2-06-bundle/nexus-2.11.2-06/nexus/},D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus
jvm 1    | 2015-07-03 12:03:33,523+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.webapp.WebappBootstrap - Destroying
jvm 1    | 2015-07-03 12:03:33,530+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.scheduling.DefaultScheduler - Shutting down Scheduler...
jvm 1    | 2015-07-03 12:03:33,842+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.timeline.DefaultNexusTimeline - Stopping Nexus Timeline...
jvm 1    | 2015-07-03 12:03:33,865+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.timeline.internal.DefaultTimeline - Stopped Timeline...
jvm 1    | 2015-07-03 12:03:33,870+0530 INFO  [WrapperListener_stop_runner] *SYSTEM com.bolyuba.nexus.plugin.npm.service.internal.orient.OrientMetadataStore - Closing pool: com.orientechnologies.orient.core.db.OPartitionedDatabasePool@1bdb07f8
jvm 1    | 2015-07-03 12:03:33,872+0530 INFO  [WrapperListener_stop_runner] *SYSTEM com.orientechnologies.orient.core.Orient - - closing storage: npm...
jvm 1    | 2015-07-03 12:03:34,893+0530 INFO  [WrapperListener_stop_runner] *SYSTEM com.orientechnologies.orient.core.Orient - OrientDB Engine shutdown complete
jvm 1    | 2015-07-03 12:03:34,895+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.index.DefaultIndexerManager - Shutting down Nexus IndexerManager
jvm 1    | 2015-07-03 12:03:35,155+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.apachehttpclient.Hc4ProviderImpl - Stopped
jvm 1    | 2015-07-03 12:03:35,157+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.events.EventSubscriberHost - Stopping
jvm 1    | 2015-07-03 12:03:35,170+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.apache.shiro.session.mgt.AbstractValidatingSessionManager - Disabled session validation scheduler.
jvm 1    | 2015-07-03 12:03:35,171+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.NxApplication - Stopped Sonatype Nexus 2.11.2-06
jvm 1    | 2015-07-03 12:03:35,220+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.webapp.WebappBootstrap - Destroyed
jvm 1    | 2015-07-03 12:03:35,222+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.eclipse.jetty.server.handler.ContextHandler - stopped o.e.j.w.WebAppContext{/nexus,file:/D:/Softwares/nexus-2.11.2-06-bundle/nexus-2.11.2-06/nexus/},D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus
jvm 1    | 2015-07-03 12:03:35,279+0530 INFO  [WrapperListener_stop_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Stopped
wrapper  | <-- Wrapper Stopped
wrapper  | --> Wrapper Started as Console
wrapper  | Launching a JVM...
jvm 1    | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
jvm 1    |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
jvm 1    | 
jvm 1    | 2015-07-03 13:44:28,898+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - Starting with arguments: [./conf/jetty.xml, ./conf/jetty-requestlog.xml]
jvm 1    | 2015-07-03 13:44:28,946+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jsw.JswLauncher - JVM ID: 1, JVM PID: 4488, Wrapper PID: 4156, User: admin
jvm 1    | 2015-07-03 13:44:29,388+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder - Properties:
jvm 1    | 2015-07-03 13:44:29,464+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-conf='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/../sonatype-work/nexus/conf'
jvm 1    | 2015-07-03 13:44:29,465+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-host='0.0.0.0'
jvm 1    | 2015-07-03 13:44:29,465+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-port='8081'
jvm 1    | 2015-07-03 13:44:29,465+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   bundleBasedir='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06'
jvm 1    | 2015-07-03 13:44:29,465+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   java.awt.headless='true'
jvm 1    | 2015-07-03 13:44:29,465+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   networkaddress.cache.ttl='3600'
jvm 1    | 2015-07-03 13:44:29,465+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-app='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus/WEB-INF'
jvm 1    | 2015-07-03 13:44:29,465+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-webapp='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus'
jvm 1    | 2015-07-03 13:44:29,466+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-webapp-context-path='/nexus'
jvm 1    | 2015-07-03 13:44:29,466+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-work='D:\Softwares\nexus-2.11.2-06-bundle\sonatype-work\nexus'
jvm 1    | 2015-07-03 13:44:29,466+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   org.eclipse.ecf.provider.filetransfer.retrieve.readTimeout='30000'
jvm 1    | 2015-07-03 13:44:29,466+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   runtime='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/nexus/WEB-INF'
jvm 1    | 2015-07-03 13:44:29,466+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.ConfigurationBuilder -   security-xml-file='D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06/../sonatype-work/nexus/conf/security.xml'
jvm 1    | 2015-07-03 13:44:29,467+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.Launcher - Java: 1.7.0_79, Java HotSpot(TM) 64-Bit Server VM, Oracle Corporation, 24.79-b02
jvm 1    | 2015-07-03 13:44:29,467+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.Launcher - OS: Windows 7, 6.1, amd64
jvm 1    | 2015-07-03 13:44:29,467+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.Launcher - User: admin, en, C:\Users\admin
jvm 1    | 2015-07-03 13:44:29,467+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.Launcher - CWD: D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06
jvm 1    | 2015-07-03 13:44:30,337+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.Launcher - TMP: D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06\tmp
jvm 1    | 2015-07-03 13:44:30,344+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Starting
jvm 1    | 2015-07-03 13:44:30,415+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Applying configuration: file:/D:/Softwares/nexus-2.11.2-06-bundle/nexus-2.11.2-06/conf/jetty.xml
jvm 1    | 2015-07-03 13:44:31,992+0530 INFO  [WrapperListener_start_runner] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Applying configuration: file:/D:/Softwares/nexus-2.11.2-06-bundle/nexus-2.11.2-06/conf/jetty-requestlog.xml
jvm 1    | 2015-07-03 13:44:32,050+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.bootstrap.jetty.JettyServer - Starting: org.eclipse.jetty.server.Server@f8d70a6
jvm 1    | 2015-07-03 13:44:32,084+0530 INFO  [jetty-main-1] *SYSTEM org.eclipse.jetty.server.Server - jetty-8.1.11.v20130520
jvm 1    | 2015-07-03 13:44:35,970+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webapp.WebappBootstrap - Initializing
jvm 1    | 2015-07-03 13:44:35,972+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webapp.WebappBootstrap - Using bootstrap launcher configuration
jvm 1    | 2015-07-03 13:44:43,462+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.webapp.metrics.MetricsModule - Metrics support configured
jvm 1    | 2015-07-03 13:44:53,415+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.sisu.goodies.eventbus.internal.DefaultEventBus - Using Reentrant Guava EventBus
jvm 1    | 2015-07-03 13:44:53,969+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from D:\Softwares\nexus-2.11.2-06-bundle\nexus-2.11.2-06\..\sonatype-work\nexus\conf\security-configuration.xml
jvm 1    | 2015-07-03 13:44:55,329+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.sisu.ehcache.CacheManagerComponentImpl - Loading configuration from: file:/D:/Softwares/nexus-2.11.2-06-bundle/nexus-2.11.2-06/nexus/WEB-INF/classes/ehcache.xml
jvm 1    | 2015-07-03 13:44:56,180+0530 INFO  [jetty-main-1] *SYSTEM com.thoughtworks.xstream.XStream - Version: 1.4.6-SONATYPE-03, white-list support available
jvm 1    | 2015-07-03 13:44:56,837+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered default repository types.
jvm 1    | 2015-07-03 13:44:57,429+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.events.EventSubscriberHost - Initialized
jvm 1    | 2015-07-03 13:44:57,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - 
jvm 1    | -------------------------------------------------
jvm 1    | 
jvm 1    | Initializing Sonatype Nexus 2.11.2-06
jvm 1    | 
jvm 1    | -------------------------------------------------
jvm 1    | 2015-07-03 13:44:57,469+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Activating locally installed plugins...
jvm 1    | 2015-07-03 13:45:06,363+0530 INFO  [jetty-main-1] *SYSTEM com.sun.jersey.server.impl.application.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.17.1 02/28/2013 12:47 PM'
jvm 1    | 2015-07-03 13:45:36,313+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.kazuki.KazukiPlugin - Kazuki version: 0.1.8
jvm 1    | 2015-07-03 13:45:48,205+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:rubygems-proxy).
jvm 1    | 2015-07-03 13:45:48,205+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:rubygems-hosted).
jvm 1    | 2015-07-03 13:45:48,206+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:rubygems-group).
jvm 1    | 2015-07-03 13:45:51,497+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.WebSiteRepository:site).
jvm 1    | 2015-07-03 13:45:52,516+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:npm-proxy).
jvm 1    | 2015-07-03 13:45:52,516+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:npm-hosted).
jvm 1    | 2015-07-03 13:45:52,517+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:npm-group).
jvm 1    | 2015-07-03 13:46:05,662+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.Repository:nuget-proxy).
jvm 1    | 2015-07-03 13:46:05,662+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.ShadowRepository:nuget-shadow).
jvm 1    | 2015-07-03 13:46:05,663+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.proxy.registry.DefaultRepositoryTypeRegistry - Registered Repository type RepositoryType=(org.sonatype.nexus.proxy.repository.GroupRepository:nuget-group).
jvm 1    | 2015-07-03 13:46:06,295+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-wonderland-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,295+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-archetype-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,296+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-lvo-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,296+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-crypto-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,296+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-healthcheck-oss-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,333+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-yum-repository-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,334+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ruby-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,335+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-webresources-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,335+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ui-extjs3-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,335+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-site-repository-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,337+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-groovy-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,338+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-npm-repository-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,339+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-rutauth-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,340+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-restlet1x-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,341+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-maven-bridge-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,342+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-capabilities-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,342+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-logging-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,343+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-rrb-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,343+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-ldap-realm-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,343+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-timeline-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,343+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-h2-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,344+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "com.sonatype.nexus.plugins:nexus-analytics-plugin:2.11.2-06" was successful.
jvm 1    | 2015-07-03 13:46:06,344+0530 INFO  [jetty-main-1] *SYSTEM org.sonatype.nexus.NxApplication - Plugin manager request "ACTIVATE" on plugin "org.sonatype.nexus.plugins:nexus-plugin-console-plugin:2.11.2-06" was successful.
